source,target,value
1011086,1683939,1
1011086,1709458,1
1011086,1721896,1
1011086,1738687,1
1011086,1800203,1
1011086,1809489,1
1011086,1830958,1
1011086,1832154,1
1011086,1839661,1
1011086,1847005,1
1011086,23179865,1
1011086,254049,1
1011105,1000120,1
1011105,1077519,1
1011105,1143702,1
1011105,1167890,1
1011105,1206395,1
1011105,1324932,1
1011105,1398239,1
1011105,1493751,1
1011105,1594245,1
1011105,1604137,1
1011382,1074890,1
1011382,1109892,1
1011382,1114044,1
1011382,1149466,1
1011382,1190911,1
1011382,1252949,1
1011382,1328801,1
1011382,1371867,1
1011382,1375553,1
1011382,1379560,1
1011382,1419839,1
1011382,1479969,1
1011382,1536620,1
1011382,1587588,1
1011382,1651713,1
1011382,1723039,1
1011382,1725215,1
1011382,1730251,1
1011382,178975550,1
1011382,5324,1
1011382,55313682,1
1011382,992292,1
1011491,1011524,1
1011491,1934584,1
1011491,2023954,1
1011491,2025971,1
1011491,209153709,1
1011491,299273646,1
1011491,345830818,1
1011491,345912569,1
1011491,346428395,1
1011491,6150,2
1011516,1028456,1
1011516,1312532,1
1011516,1625928,1
1011516,1763532,1
1011516,1803170,1
1011516,1810327,1
1011516,1824191,1
1011516,259606232,1
1011516,62993481,1
1011524,1011491,1
1011524,1079194,1
1011524,1104370,1
1011524,1109427,1
1011524,1154045,1
1011524,1219909,1
1011524,1235370,1
1011524,1239603,1
1011524,1250774,1
1011524,1259332,1
1011524,1340096,2
1011524,1376406,1
1011524,1397362,1
1011524,1399745,1
1011524,1427359,1
1011524,1445977,1
1011524,1451965,1
1011524,1452392,1
1011524,1489073,1
1011524,1548497,1
1011524,1553545,1
1011524,1560597,1
1011524,1562707,1
1011524,1569539,1
1011524,1580031,1
1011524,1589512,1
1011524,1600944,1
1011524,163639060,1
1011524,1638648,1
1011524,1663432,1
1011524,1679394,1
1011524,1688703,1
1011524,168900441,1
1011524,1698818,1
1011524,1722625,1
1011524,1741903,1
1011524,1750382,1
1011524,1822723,1
1011524,1823096,2
1011524,211741303,1
1011524,239500209,1
1011524,27317891,1
1011524,29571024,1
1011524,31825885,1
1011524,325858141,1
1011524,380505518,1
1011524,988483,1
1011550,1721199,1
1011652,100820086,1
1011652,100820115,1
1011652,136068865,1
1011652,1726731,1
1011652,31864952,1
1011668,1261959,1
1011668,134389277,1
1011668,231774618,1
1011842,1151526,1
1011842,1225622,1
1011842,1399341,1
1011842,1404753,1
1011842,1419659,1
1011842,1464665,1
1011842,1628720,1
1011842,254185,1
1011842,36534869,1
1011842,462195,1
1011842,468581,1
1011842,468622,1
1011842,59327745,1
1011869,1401053,1
1011869,1411407,1
